date;price
20121025;152.7800000
20121026;151.6000000
20121029;151.0900000
20121030;150.3300000
20121031;147.0700000
20121101;144.8700000
20121102;144.6000000
20121106;146.0100000
20121107;146.5400000
20121108;142.2000000
20121109;142.7100000
20121112;146.0200000
20121113;144.0000000
20121114;140.0100000
20121115;138.3500000
20121116;141.2100000
20121119;140.6500000
20121120;142.5000000
20121121;140.7600000
20121122;143.0200000
20121123;142.1100000
20121126;141.9000000
20121127;140.8000000
20121128;137.8700000
20121129;138.4900000
20121130;137.5000000
20121203;139.4000000
20121204;139.8000000
20121205;140.1900000
20121206;140.4500000
20121207;139.8900000
20121210;139.9800000
20121211;140.3300000
20121212;140.2000000
20121213;140.9100000
20121214;139.3500000
20121217;139.6500000
20121218;140.4700000
20121219;141.0000000
20121220;139.4700000
20121221;141.5000000
20121224;144.4100000
20121225;145.0000000
20121226;145.0000000
20121227;144.8000000
20121228;144.8000000
20130108;146.2000000
20130109;147.2700000
20130110;149.0000000
20130111;147.7000000
20130114;148.5500000
20130115;149.3200000
20130116;147.6700000
20130117;146.5000000
20130118;148.4000000
20130121;148.4100000
20130122;147.9000000
20130123;146.2500000
20130124;146.4000000
20130125;146.1400000
20130128;146.8700000
20130129;147.2000000
20130130;146.5500000
20130131;143.6400000
20130201;142.4400000
20130204;142.8000000
20130205;141.1000000
20130206;142.0000000
20130207;140.2300000
20130208;139.3000000
20130211;137.8000000
20130212;135.0200000
20130213;133.9500000
20130214;137.2000000
20130215;134.2000000
20130218;134.0000000
20130219;136.0000000
20130220;137.9800000
20130221;135.7600000
20130222;136.3200000
20130225;137.0500000
20130226;136.5000000
20130227;136.9000000
20130228;138.3600000
20130301;136.7400000
20130304;134.2200000
20130305;133.5300000
20130306;136.5000000
20130307;134.9700000
20130311;135.0200000
20130312;136.8000000
20130313;136.9000000
20130314;140.5000000
20130315;142.8100000
20130318;142.9700000
20130319;144.4000000
20130320;141.8700000
20130321;142.6200000
20130322;142.0500000
20130325;140.9100000
20130326;138.9600000
20130327;137.4100000
20130328;135.4200000
20130329;133.8300000
20130401;133.8800000
20130402;133.0100000
20130403;130.9500000
20130404;129.2900000
20130405;131.0100000
20130408;131.0700000
20130409;129.9900000
20130410;131.1300000
20130411;130.0000000
20130412;125.9900000
20130415;125.9800000
20130416;124.8900000
20130417;124.7000000
20130418;121.6000000
20130419;121.0700000
20130422;120.4900000
20130423;119.5000000
20130424;120.6000000
20130425;125.0000000
20130426;122.8000000
20130429;123.1200000
20130430;122.9000000
20130502;122.9600000
20130503;123.6900000
20130506;128.8800000
20130507;129.4800000
20130508;130.5500000
20130510;132.2900000
20130513;132.4900000
20130514;126.0000000
20130515;125.7000000
20130516;123.2400000
20130517;123.2000000
20130520;125.8200000
20130521;126.1000000
20130522;127.0300000
20130523;125.7800000
20130524;122.2400000
20130527;120.8000000
20130528;120.3900000
20130529;120.4100000
20130530;118.6300000
20130531;120.4800000
20130603;122.6100000
20130604;121.1500000
20130605;119.1200000
20130606;117.9500000
20130607;117.9500000
20130610;117.8400000
20130611;116.2000000
20130613;110.0400000
20130614;111.2500000
20130617;110.0000000
20130618;110.9000000
20130619;113.1300000
20130620;109.0600000
20130621;108.0000000
20130624;108.3000000
20130625;107.2500000
20130626;108.7500000
20130627;110.7200000
20130628;107.8400000
20130701;109.1200000
20130702;109.3000000
20130703;108.8200000
20130704;109.5700000
20130705;113.4900000
20130708;114.4000000
20130709;114.3300000
20130710;114.2900000
20130711;114.6700000
20130712;117.5900000
20130715;122.0500000
20130716;122.8000000
20130717;124.5900000
20130718;131.3700000
20130719;130.0000000
20130722;130.0500000
20130723;129.8100000
20130724;128.5100000
20130725;126.7200000
20130726;128.7100000
20130729;128.7000000
20130730;129.9300000
20130731;129.7600000
20130801;129.5000000
20130802;131.0200000
20130805;128.3700000
20130806;128.1500000
20130807;125.5000000
20130808;125.4000000
20130809;125.5600000
20130812;128.6400000
20130813;129.5700000
20130814;132.6200000
20130815;134.3300000
20130816;131.3800000
20130819;130.8000000
20130820;131.7300000
20130821;132.4900000
20130822;131.5500000
20130823;134.4000000
20130826;133.7700000
20130827;131.9100000
20130828;131.2500000
20130829;132.4000000
20130830;131.8000000
20130902;132.2000000
20130903;131.9700000
20130904;131.1200000
20130905;132.4000000
20130906;140.0100000
20130909;142.5200000
20130910;148.4000000
20130911;146.4600000
20130912;147.0200000
20130913;144.6000000
20130916;143.0500000
20130917;144.8800000
20130918;146.0100000
20130919;148.0300000
20130920;147.5300000
20130923;147.6000000
20130924;145.3000000
20130925;144.4600000
20130926;145.3600000
20130927;146.1000000
20130930;144.0000000
20131001;144.0900000
20131002;145.8400000
20131003;143.6000000
20131004;142.2400000
20131007;143.9900000
20131008;147.4000000
20131009;151.0100000
20131010;151.7200000
20131011;153.9000000
20131014;152.8400000
20131015;153.5300000
20131016;155.9000000
20131017;158.4600000
20131018;156.2400000
20131021;157.5600000
20131022;155.9000000
20131023;153.4800000
20131024;150.7300000
20131025;150.4000000
